,city,type,address1,address2,address,tel,workhours,geocode,lat,lng
0,Москва,Сервисный Центр A&D,"125480, г. Москва","ул. Вилиса Лациса, д.5, к.1","125480, г. Москва,ул. Вилиса Лациса, д.5, к.1",Телефон: +7 (495) 269-02-45,Понедельник - пятница с 9.00 до 18.00,"[{'address_components': [{'long_name': '5 корпус 1', 'short_name': '5к1', 'types': ['street_number']}, {'long_name': 'Vilisa Latsisa ulitsa', 'short_name': 'Vilisa Latsisa ul.', 'types': ['route']}, {'long_name': 'Severo-Zapadnyy administrativnyy okrug', 'short_name': 'Severo-Zapadnyy administrativnyy okrug', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Moskva', 'short_name': 'Moskva', 'types': ['locality', 'political']}, {'long_name': 'Moskva', 'short_name': 'Moskva', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Russia', 'short_name': 'RU', 'types': ['country', 'political']}, {'long_name': '125480', 'short_name': '125480', 'types': ['postal_code']}], 'formatted_address': 'Vilisa Latsisa ul., 5к1, Moskva, Russia, 125480', 'geometry': {'location': {'lat': 55.863229, 'lng': 37.430699}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 55.8645779802915, 'lng': 37.43204798029149}, 'southwest': {'lat': 55.8618800197085, 'lng': 37.4293500197085}}}, 'place_id': 'ChIJvxb9r3c4tUYRHLPRlp-0ff8', 'types': ['street_address']}]",55.863229,37.430699
1,Анапа,Авторизованный консультационный центр,"353454, г. Анапа","ул. Промышленная, д. 13","353454, г. Анапа,ул. Промышленная, д. 13","Телефон: +7 (86133) 3-72-90, +7 (86133) 3-84-40",,"[{'address_components': [{'long_name': '13', 'short_name': '13', 'types': ['street_number']}, {'long_name': 'Promyshlennaya ulitsa', 'short_name': 'Promyshlennaya ul.', 'types': ['route']}, {'long_name': 'Anapa', 'short_name': 'Anapa', 'types': ['locality', 'political']}, {'long_name': 'Anapskiy rayon', 'short_name': 'Anapskiy r-n', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Krasnodarskiy kray', 'short_name': 'Krasnodarskiy kray', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Russia', 'short_name': 'RU', 'types': ['country', 'political']}, {'long_name': '353454', 'short_name': '353454', 'types': ['postal_code']}], 'formatted_address': 'Promyshlennaya ul., 13, Anapa, Krasnodarskiy kray, Russia, 353454', 'geometry': {'location': {'lat': 44.88195700000001, 'lng': 37.327776}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 44.88330598029151, 'lng': 37.3291249802915}, 'southwest': {'lat': 44.88060801970851, 'lng': 37.3264270197085}}}, 'partial_match': True, 'place_id': 'ChIJtX2t_MsL7kARbHhX7wNcb4M', 'types': ['street_address']}]",44.88195700000001,37.327776
2,Армавир,Авторизованный консультационный центр,"352922, г. Армавир","ул. Воровского, 69","352922, г. Армавир,ул. Воровского, 69",Телефон: +7 (86155) 22-619,,"[{'address_components': [{'long_name': '69', 'short_name': '69', 'types': ['street_number']}, {'long_name': 'ulitsa Vorovskogo', 'short_name': 'ul. Vorovskogo', 'types': ['route']}, {'long_name': 'Armavir', 'short_name': 'Armavir', 'types': ['locality', 'political']}, {'long_name': 'gorod Armavir', 'short_name': 'g. Armavir', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Krasnodarskiy kray', 'short_name': 'Krasnodarskiy kray', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Russia', 'short_name': 'RU', 'types': ['country', 'political']}, {'long_name': '352900', 'short_name': '352900', 'types': ['postal_code']}], 'formatted_address': 'ul. Vorovskogo, 69, Armavir, Krasnodarskiy kray, Russia, 352900', 'geometry': {'location': {'lat': 44.993702, 'lng': 41.078637}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 44.9950509802915, 'lng': 41.0799859802915}, 'southwest': {'lat': 44.9923530197085, 'lng': 41.0772880197085}}}, 'partial_match': True, 'place_id': 'ChIJW8_whEjs-UAREY-Wu6LSojo', 'types': ['street_address']}]",44.993702,41.078637
3,Астрахань,Авторизованный консультационный центр,"414040, г. Астрахань","ул.Адмиралтейская, 28","414040, г. Астрахань,ул.Адмиралтейская, 28",Телефон: +7 (8512) 52-26-67,,"[{'address_components': [{'long_name': '28', 'short_name': '28', 'types': ['street_number']}, {'long_name': 'Admiralteyskaya ulitsa', 'short_name': 'Admiralteyskaya ul.', 'types': ['route']}, {'long_name': ""Astrakhan'"", 'short_name': ""Astrakhan'"", 'types': ['locality', 'political']}, {'long_name': ""gorod Astrakhan'"", 'short_name': ""g. Astrakhan'"", 'types': ['administrative_area_level_2', 'political']}, {'long_name': ""Astrakhanskaya oblast'"", 'short_name': ""Astrakhanskaya oblast'"", 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Russia', 'short_name': 'RU', 'types': ['country', 'political']}], 'formatted_address': ""Admiralteyskaya ul., 28, Astrakhan', Astrakhanskaya oblast', Russia"", 'geometry': {'location': {'lat': 46.35665030000001, 'lng': 48.0373943}, 'location_type': 'RANGE_INTERPOLATED', 'viewport': {'northeast': {'lat': 46.35799928029151, 'lng': 48.03874328029149}, 'southwest': {'lat': 46.35530131970851, 'lng': 48.0360453197085}}}, 'partial_match': True, 'place_id': 'EmrQkNC00LzQuNGA0LDQu9GC0LXQudGB0LrQsNGPINGD0LsuLCAyOCwg0JDRgdGC0YDQsNGF0LDQvdGMLCDQkNGB0YLRgNCw0YXQsNC90YHQutCw0Y8g0L7QsdC7Liwg0KDQvtGB0YHQuNGP', 'types': ['street_address']}]",46.35665030000001,48.0373943
4,Барнаул,Авторизованный сервисный центр,"656016, г. Барнаул","ул. Автотранспортная, 55","656016, г. Барнаул,ул. Автотранспортная, 55","Телефон/факс: +7 (3852) 50-15-21, 50-15-22, 50-15-23, 50-15-24",,"[{'address_components': [{'long_name': '55', 'short_name': '55', 'types': ['street_number']}, {'long_name': 'Avtotransportnaya ulitsa', 'short_name': 'Avtotransportnaya ul.', 'types': ['route']}, {'long_name': 'Barnaul', 'short_name': 'Barnaul', 'types': ['locality', 'political']}, {'long_name': 'Barnaul', 'short_name': 'Barnaul', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Altayskiy kray', 'short_name': 'Altayskiy kray', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Russia', 'short_name': 'RU', 'types': ['country', 'political']}, {'long_name': '656016', 'short_name': '656016', 'types': ['postal_code']}], 'formatted_address': 'Avtotransportnaya ul., 55, Barnaul, Altayskiy kray, Russia, 656016', 'geometry': {'location': {'lat': 53.344577, 'lng': 83.7208976}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 53.3459259802915, 'lng': 83.72224658029151}, 'southwest': {'lat': 53.3432280197085, 'lng': 83.7195486197085}}}, 'place_id': 'ChIJryPdiYWj3UIRbqBfGbYoFUg', 'types': ['street_address']}]",53.344577,83.7208976
5,Белгород,Авторизованный сервисный центр,"308036, г. Белгород","ул. Щорса, 40, ""Медтехника""","308036, г. Белгород,ул. Щорса, 40, ""Медтехника""",Телефон: +7 (4722) 37-11-57,Понедельник - пятница с 12.00 до 17.00,"[{'address_components': [{'long_name': '40', 'short_name': '40', 'types': ['street_number']}, {'long_name': 'ulitsa Shchorsa', 'short_name': 'ul. Shchorsa', 'types': ['route']}, {'long_name': 'Belgorod', 'short_name': 'Belgorod', 'types': ['locality', 'political']}, {'long_name': 'gorod Belgorod', 'short_name': 'g. Belgorod', 'types': ['administrative_area_level_2', 'political']}, {'long_name': ""Belgorodskaya oblast'"", 'short_name': ""Belgorodskaya oblast'"", 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Russia', 'short_name': 'RU', 'types': ['country', 'political']}, {'long_name': '308036', 'short_name': '308036', 'types': ['postal_code']}], 'formatted_address': ""ul. Shchorsa, 40, Belgorod, Belgorodskaya oblast', Russia, 308036"", 'geometry': {'location': {'lat': 50.5646, 'lng': 36.5701739}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 50.5659489802915, 'lng': 36.5715228802915}, 'southwest': {'lat': 50.5632510197085, 'lng': 36.5688249197085}}}, 'place_id': 'ChIJdydug9tBJkERf1k8gLC6ihA', 'types': ['clothing_store', 'establishment', 'health', 'point_of_interest', 'store']}, {'address_components': [{'long_name': '2 а', 'short_name': '2 а', 'types': ['street_number']}, {'long_name': 'ulitsa Gagarina', 'short_name': 'ul. Gagarina', 'types': ['route']}, {'long_name': 'Belgorod', 'short_name': 'Belgorod', 'types': ['locality', 'political']}, {'long_name': 'gorod Belgorod', 'short_name': 'g. Belgorod', 'types': ['administrative_area_level_2', 'political']}, {'long_name': ""Belgorodskaya oblast'"", 'short_name': ""Belgorodskaya oblast'"", 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Russia', 'short_name': 'RU', 'types': ['country', 'political']}, {'long_name': '308000', 'short_name': '308000', 'types': ['postal_code']}], 'formatted_address': ""ul. Gagarina, 2 а, Belgorod, Belgorodskaya oblast', Russia, 308000"", 'geometry': {'location': {'lat': 50.61900199999999, 'lng': 36.5893161}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 50.6203509802915, 'lng': 36.59066508029149}, 'southwest': {'lat': 50.6176530197085, 'lng': 36.5879671197085}}}, 'place_id': 'ChIJy-IlDBxrJkERVhR18rkVp_c', 'types': ['establishment', 'health', 'point_of_interest', 'store']}]",50.5646,36.5701739
6,Благовещенск,Авторизованный сервисный центр,"675029, г. Благовещенск","ул. Заводская, д. 154, оф. 30","675029, г. Благовещенск,ул. Заводская, д. 154, оф. 30",Телефон: +7 (4162) 37-66-73 ,,"[{'address_components': [{'long_name': '30', 'short_name': '30', 'types': ['subpremise']}, {'long_name': '154', 'short_name': '154', 'types': ['street_number']}, {'long_name': 'Zavodskaya ulitsa', 'short_name': 'Zavodskaya ul.', 'types': ['route']}, {'long_name': 'Blagoveshchensk', 'short_name': 'Blagoveshchensk', 'types': ['locality', 'political']}, {'long_name': 'gorod Blagoveshchensk', 'short_name': 'g. Blagoveshchensk', 'types': ['administrative_area_level_2', 'political']}, {'long_name': ""Amurskaya oblast'"", 'short_name': ""Amurskaya oblast'"", 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Russia', 'short_name': 'RU', 'types': ['country', 'political']}, {'long_name': '675029', 'short_name': '675029', 'types': ['postal_code']}], 'formatted_address': ""Zavodskaya ul., 154, 30, Blagoveshchensk, Amurskaya oblast', Russia, 675029"", 'geometry': {'location': {'lat': 50.2841827, 'lng': 127.517273}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 50.2855316802915, 'lng': 127.5186219802915}, 'southwest': {'lat': 50.2828337197085, 'lng': 127.5159240197085}}}, 'place_id': 'EmvQl9Cw0LLQvtC00YHQutCw0Y8g0YPQuy4sIDE1NCwgMzAsINCR0LvQsNCz0L7QstC10YnQtdC90YHQuiwg0JDQvNGD0YDRgdC60LDRjyDQvtCx0LsuLCDQoNC-0YHRgdC40Y8sIDY3NTAyOQ', 'types': ['subpremise']}]",50.2841827,127.517273
7,Брянск ,Авторизованный сервисный центр,"241033, г. Брянск","ул. Дуки, 1,","241033, г. Брянск,ул. Дуки, 1,",Телефон: +7 (4832) 37-07-71,,"[{'address_components': [{'long_name': '1', 'short_name': '1', 'types': ['street_number']}, {'long_name': 'ulitsa Duki', 'short_name': 'ul. Duki', 'types': ['route']}, {'long_name': 'Bryansk', 'short_name': 'Bryansk', 'types': ['locality', 'political']}, {'long_name': 'gorod Bryansk', 'short_name': 'g. Bryansk', 'types': ['administrative_area_level_2', 'political']}, {'long_name': ""Bryanskaya oblast'"", 'short_name': ""Bryanskaya oblast'"", 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Russia', 'short_name': 'RU', 'types': ['country', 'political']}, {'long_name': '241050', 'short_name': '241050', 'types': ['postal_code']}], 'formatted_address': ""ul. Duki, 1, Bryansk, Bryanskaya oblast', Russia, 241050"", 'geometry': {'location': {'lat': 53.2537433, 'lng': 34.37551}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 53.2550922802915, 'lng': 34.3768589802915}, 'southwest': {'lat': 53.2523943197085, 'lng': 34.3741610197085}}}, 'partial_match': True, 'place_id': 'ChIJDwT71YlYLUERZeB97NmNNCM', 'types': ['street_address']}]",53.2537433,34.37551
8,Владикавказ,Авторизованный консультационный центр,"362000, г. Владикавказ","ул. Ростовская, 14","362000, г. Владикавказ,ул. Ростовская, 14",Телефон: +7 (8672) 54-69-36,,"[{'address_components': [{'long_name': '14', 'short_name': '14', 'types': ['street_number']}, {'long_name': 'Rostovskaya ulitsa', 'short_name': 'Rostovskaya ul.', 'types': ['route']}, {'long_name': 'Vladikavkaz', 'short_name': 'Vladikavkaz', 'types': ['locality', 'political']}, {'long_name': 'gorod Vladikavkaz', 'short_name': 'g. Vladikavkaz', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Respublika Severnaya Osetiya-Alaniya', 'short_name': 'Resp. Severnaya Osetiya-Alaniya', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Russia', 'short_name': 'RU', 'types': ['country', 'political']}, {'long_name': '362027', 'short_name': '362027', 'types': ['postal_code']}], 'formatted_address': 'Rostovskaya ul., 14, Vladikavkaz, Resp. Severnaya Osetiya-Alaniya, Russia, 362027', 'geometry': {'location': {'lat': 43.0356493, 'lng': 44.6876319}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 43.0369982802915, 'lng': 44.6889808802915}, 'southwest': {'lat': 43.0343003197085, 'lng': 44.6862829197085}}}, 'partial_match': True, 'place_id': 'ChIJNSQrSYUKUEARfpZQsOhXEjM', 'types': ['street_address']}]",43.0356493,44.6876319
9,Владимир,Авторизованный сервисный центр,"600026, г. Владимир","ул. Краснознаменная, д. 3а","600026, г. Владимир,ул. Краснознаменная, д. 3а",Телефон: +7 (4922) 33-09-20,,"[{'address_components': [{'long_name': '3А', 'short_name': '3А', 'types': ['street_number']}, {'long_name': 'Krasnoznamennaya ulitsa', 'short_name': 'Krasnoznamennaya ul.', 'types': ['route']}, {'long_name': 'Vladimir', 'short_name': 'Vladimir', 'types': ['locality', 'political']}, {'long_name': 'gorod Vladimir', 'short_name': 'g. Vladimir', 'types': ['administrative_area_level_2', 'political']}, {'long_name': ""Vladimirskaya oblast'"", 'short_name': ""Vladimirskaya oblast'"", 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Russia', 'short_name': 'RU', 'types': ['country', 'political']}, {'long_name': '600017', 'short_name': '600017', 'types': ['postal_code']}], 'formatted_address': ""Krasnoznamennaya ul., 3А, Vladimir, Vladimirskaya oblast', Russia, 600017"", 'geometry': {'location': {'lat': 56.142546, 'lng': 40.396362}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 56.1438949802915, 'lng': 40.3977109802915}, 'southwest': {'lat': 56.1411970197085, 'lng': 40.3950130197085}}}, 'partial_match': True, 'place_id': 'ChIJPc1Sqel7TEERjTdfatWRGB4', 'types': ['street_address']}]",56.142546,40.396362
